0.255,70.0
0.26,65.9
0.265,65.6
0.27,62.7
0.275,63.8
0.28,73.1
0.285,69.7
0.29,70.8
0.295,72.8
0.3,63.5
0.305,70.2
0.31,73.6
0.315,64.4
0.32,66.5
0.325,68.1
0.33,74.5
0.335,79.9
0.34,63.6
0.345,66.7
0.35,66.5
0.355,64.1
0.36,67.3
0.365,62.0
0.37,66.7
0.375,62.0
0.38,63.6
0.385,63.5
0.39,62.0
0.395,75.4
0.4,74.6
0.405,76.1
0.41,70.0
0.415,70.0
0.42,69.5
0.425,70.3
0.43,71.1
0.435,70.2
0.44,69.6
0.445,69.8
0.45,70.0
0.455,69.5
0.46,75.3
0.465,70.4
0.47,70.2
0.475,70.3
0.48,69.7
0.485,70.3
0.49,70.1
0.495,72.1
0.5,81.7
