0.255,83.2
0.26,44.8
0.265,44.1
0.27,45.7
0.275,46.4
0.28,45.1
0.285,43.9
0.29,44.6
0.295,45.3
0.3,45.5
0.305,45.8
0.31,45.5
0.315,44.0
0.32,44.6
0.325,44.6
0.33,44.4
0.335,46.6
0.34,44.5
0.345,49.8
0.35,45.1
0.355,44.7
0.36,46.2
0.365,45.8
0.37,47.7
0.375,43.9
0.38,44.2
0.385,44.8
0.39,43.9
0.395,43.9
0.4,43.9
0.405,44.0
0.41,45.5
0.415,46.6
0.42,44.4
0.425,47.0
0.43,44.5
0.435,44.5
0.44,45.5
0.445,44.5
0.45,46.4
0.455,43.9
0.46,46.0
0.465,44.0
0.47,45.0
0.475,43.9
0.48,43.9
0.485,44.1
0.49,44.1
0.495,43.9
0.5,43.9
