0.255,109.8
0.26,106.8
0.265,100.8
0.27,100.6
0.275,99.9
0.28,100.7
0.285,99.6
0.29,100.2
0.295,99.5
0.3,99.8
0.305,99.3
0.31,101.0
0.315,102.6
0.32,100.4
0.325,100.7
0.33,99.0
0.335,100.4
0.34,100.0
0.345,97.4
0.35,122.7
0.355,99.5
0.36,100.4
0.365,101.9
0.37,100.5
0.375,101.9
0.38,101.6
0.385,101.1
0.39,100.2
0.395,100.0
0.4,110.1
0.405,101.7
0.41,105.1
0.415,98.6
0.42,124.5
0.425,138.0
0.43,122.8
0.435,117.1
0.44,101.8
0.445,102.6
0.45,106.9
0.455,120.4
0.46,99.4
0.465,103.7
0.47,98.2
0.475,99.4
0.48,97.8
0.485,103.3
0.49,155.8
0.495,108.5
0.5,98.4
