0.255,105.1
0.26,99.7
0.265,100.3
0.27,98.3
0.275,105.3
0.28,98.9
0.285,97.4
0.29,96.7
0.295,98.3
0.3,97.7
0.305,98.7
0.31,98.6
0.315,97.0
0.32,96.0
0.325,95.7
0.33,96.9
0.335,95.8
0.34,95.2
0.345,96.1
0.35,95.6
0.355,97.3
0.36,99.2
0.365,96.5
0.37,98.1
0.375,95.7
0.38,98.9
0.385,100.1
0.39,111.4
0.395,115.6
0.4,104.3
0.405,99.7
0.41,107.3
0.415,100.8
0.42,95.6
0.425,95.1
0.43,94.5
0.435,97.0
0.44,95.2
0.445,94.8
0.45,94.7
0.455,93.8
0.46,94.1
0.465,94.6
0.47,95.0
0.475,93.0
0.48,95.5
0.485,95.0
0.49,113.8
0.495,121.3
0.5,113.7
